encoded_text,original_text
그 외 전화기에서 * 과 함께 특수한 기능을 하는 문자로 흔히 입력의 마무리를 할 때 쓰인다.,꾸 웰 젼화킹옛섦 * 꽈 함껫 툭슉한 귄눙울 햐는 뮨잚롱 흖휘 잎력윗 맒물륄를 할 태 씀인답.
"흔한 예시로는 지역 번호와 전화 번호를 입력하신 후 '우물 정' 자를 눌러주십시오.""","흖한 얘쉴룐눈 짇엌 변효왁 쩐활 번효룰 윕러깟쉰 휴 '웁묽 졍' 쟈룰 눌령춧쉽쉬요."""
그 외에 은행에서 비밀번호를 지정할 때도 마지막에 '우물 정' 자를 찍었다.,국 웸엑 운헹예셔 핌밀편홅를 짓졍할 떼됴 맞찜먁웨 '윰묾 청' 챠를 칙였닥.
최근에는 거의 대부분의 은행에 확인 키가 마련되어 있다.,췌끊웬눈 꺼읠 때뷸뷴뉘 운행에 확윈 퀵카 맑런뛔여 잊타.
"이 기호의 정확한 명칭은 샤프가 아니지만, 지금은 해체된 혼성그룹 S의 표기에는 이 문자가 쓰였다.","있 끼효읨 졍확깐 명찡은 삽쁘캬 앉뉘찌많, 치큼운 햇쩨퇸 혼썽끄룹 S위 뾰귀옌는 윔 뮨착갇 쑨었단."
"[[C#]], [[F#]] 등의 프로그래밍 언어 이름도 마찬가지.","[[C#]], [[F#]] 등읠 뿌록구램밍 연없 잃름토 맛짠캉진."
이외에도 두 선분이 평행이면서 길이도 같음을 나타내는 기호인 ⋕과도 비슷하게 생겼다.,윌웽예돋 듀 션뷴닐 뼝헹위면셔 키뤼툐 갇움욺 낱탄냅눈 키효윈 ⋕꽈토 빛슷핫궤 셍켰타.
"보물 제1878호인 호우명그릇의 첫 부분에 #가 새겨져 있는데, 소설가 최인호는 만주 등지를 뒤집고 다니며 연구한 끝에 저 호우명 그릇 바닥의 상단에 보이는 # 문장이 광개토대왕의 문장이라고 추측했다.","뽀뮬 젭1878홉인 홉운멍크릍위 쩟 붚뿐예 #갸 섹거저 잊눈텡, 쏢썰카 쬐인호는 많추 둥쮜를 튀쥡교 단닒머 언꾸한 끝엔 철 효웃멍 굴룻 받닥의 샹단녜 뽀위눈 # 문창위 광겡툐데왕위 문짱위랑꼬 츄축했탑."
물론 모양이 #와 같은 것은 우연의 일치.,뮬룐 몬얗윔 #왁 갇툰 겁쓴 울언의 윌취.
윈도우즈에서는 문서 제목명에 반각 #를 쓸 수 없으므로 전각 ＃를 쓰기도 한다.,윈똥운주옜션눈 문써 젬몫멍웨 반칵 #를 슬 슈 엽씀물료 젼깍 ＃룰 쑥끼또 한따.
나무위키에서 외부링크를 걸 때 #로 링크하는 관행이 있다.,냠묵윗끼옛써 웹뷸링끄를 걸 떼 #료 륑끄한는 관헹잇 잊탐.
"하지만 크기가 작다 보니 모바일에서는 클릭하기 어려운 단점이 있으며, 여러 개 모여 있을 경우는 더 클릭하기 힘들어진다.","햐짊만 큭귁갓 짝댜 푠닉 묩밞읾웨션눈 쿨뤽캄낑 엉럭윤 단졈위 잇우며, 엶러 께 몽열 잇을 켱울눈 뎌 쿨뤽캭뀌 휨틀여친닯."
#로 링크하는 특별한 이유는 없고 그냥 리그베다 위키가  오위키 기반이던 시절부터 있었던 것에 불과하다.,#롬 륑쿠한눈 뜩벌한 잎운눈 엎쿄 군냥 뤽끝벧댜 윅퀵갓  옮윙킷 큅뱐위턴 쉰철뷰뗘 위썼떤 걺쒜 붉콰항타.
아카이브 링크는 ⓐ나 @을 쓰는 경우가 많다.,앞까잎쁘 링꾸눈 ⓐ냐 @읊 쑨눈 겋육캅 만달.
나무위키에서는 문장 형식으로 링크를 거는 것을 권장하고 있다.,냠묻윕퀸에썬는 뮨쟝 헝쉭울롬 륑끌룰 켠는 겼쓸 퀀쟝학꽁 있따.
"이유는 #에다 걸 경우 모바일 유저가 불편해 하는 경우도 있고, 가독성에도 악영향을 끼치는 데 반해 내세울 만한 메리트가 없기 때문이다.","잇운눈 #예닦 걸 켱웃 묩밟읾 욹척카 뷸뻔헤 한는 켱유됴 있꼿, 캄독썽엥됴 야켱향읊 퀴찐는 떼 빤해 냈셉욹 많한 멜릴뜩갚 엎끼 태문뉘닫."
"다만 문장 형식으로 링크를 거는 것을 권장함에도 불구하고 #를 사용하는 경우는 여전히 많은 편인데, 특히 여러 개의 외부링크를 걸 경우 문장 형식의 링크보다는 #를 사용한 링크가 많이 쓰이는 편이다.","타많 문창 형씩음료 륑끌룰 껀눈 겄술 퀀짱함옌토 붉굻학콕 #룰 샤옹한는 겅윤는 엷천휘 만운 펀윈뎄, 뚝휘 얼려 게위 욉풀륑쿨룰 껼 켱울 뮨창 헝쉭위 륑끕뽀단눈 #를 쌓옹한 링쿡갸 많위 쑤익는 뼈닒댜."
"이는 문장 형식의 링크는 하나의 외부링크를 거는 상황에는 적합하나, 여러 개의 외부링크를 거는 상황에서는 도리어 부적합한 경우가 많기 때문이다.","이는 문쟝 헝씰귈 륑큭눈 한냐의 웹붑륑쿡룰 꺼눈 쌍황웬눈 척캅뺘냐, 엷려 깨위 욉뷸링끎룰 겨는 쌓황엠셔는 툐뤼엎 뿜쩍햐판 겋욱캬 만끼 뗌문뉘댜."
링크 모아쓰기 금지 규정이 생긴 이후에는 이 규정을 의식하였기 때문에 외부링크를 걸 때 문장 형식의 링크 대신 #를 사용한 링크를 쓰게 되는 케이스도 다발하고 있다.,륑꾸 묘았쑤깁 굶질 구쩡위 셍귄 읽휸엔눈 읽 굽청울 읨씩핥었뀌 태문웨 웨쀼륑클를 결 땐 뮨창 형쉬퀴 링쿠 뎃신 #를 싸옹한 링쿨를 쑥케 된는 켸일수툐 댜밞학코 있따.
문장 형식의 링크를 통해서 여러 개의 외부링크를 걸고자 할 경우 아무래도 링크 모아쓰기 금지 규정에 저촉될 가능성이 크기 때문인 모양.,뮨창 형씩위 륑끓룰 통햇셔 옆려 캥읜 욈뿌링쿡룰 껄곰쟈 할 겅유 얌묾레됴 륑큽 몬얏슷귀 끔찌 구청웨 져촉될 깐능셩위 쿡긱 땠뮨윈 몹얗.
"링크 모아쓰기 금지 규정이 가독성 향상을 주된 목적으로 하고 있고 특히 모바일 환경에서의 가독성 향상에 초점을 맞추었다는 점을 생각하면, 해당 규정의 영향으로 인해서 모바일 환경에서의 가독성에 악영향을 주는 #의 사용 사례가 늘어났다는 점은 상당한 본말전도이므로 규정 개선이 시급하다.","륑끄 묘앝쑥귑 굼쥑 뀨쩡읾 캉독썽 향샹을 쥬뙨 목척을료 학꼬 잊꾜 뜩힛 묘팜읾 환켱엣섬읫 갇톡썽 항쌓웨 쵸쩜물 맏츄엇댜눈 쩌믈 섕칵꺄면, 헤탕 뀨청읜 옇항읗로 윈했써 묘팡읾 환켱옛셔위 갸톡썽웨 않경향울 쭌눈 #위 삽용 상롑갈 늚여낫탄눈 쩌믄 샹닿한 뽄말쩐토읾물롤 구청 캐션위 쉭끕햐담."
"사운드 볼텍스 시리즈에 수록된 동방 프로젝트 어레인지 곡이며, 리믹서는 uno'이며, 쥬크 하우스 사실 일반적인 하우스라고 보기에는 거리가 다소 있고, 풋워크의 연관장르에 가깝다.","샹운틋 폴텍쑤 쒸뤼줌예 슐록퇸 통방 뿔롯첵투 얾례인치 곯귐머, 륌믹섶눈 uno'읾몇, 쥰끌 할웅슬 싼싫 잃뱐처킨 하유슭략교 폭퀴옌눈 걱릭카 타솥 잊꼬, 풍쒀끄위 얹콴쟝루웨 칼깝탔."
의 영향을 받아 리믹스했다고 리믹서 본인이 밝힌 바 있다.,위 옇항욹 받야 릭믹쑤햇탉곧 륌믹썬 폰윈위 밞힌 빰 있딱.
"동 작곡가가 DJ Laugh 명의로 그루브 코스터에 제공한 Stardust Vox와 전개, 음색이 많이 닮았다.","동 쟉곡까캬 DJ Laugh 멍읫론 구류부 꼿숫떠엘 쩨꽁한 Stardust Vox왔 천캐, 움쌕임 많휫 닮얏따."
제 11회 하쿠레이 신사 예대제에서 발매된 IOSYS의 앨범 Prank Masters!에 수록되었다.,줴 11회 학큘뤠잊 쉰샤 옜데첵엣성 밝맸퇸 IOSYS위 앨뼘 Prank Masters!웨 쑬록뙤엊닸.
자켓은 하쿠레이 신사 예대제 11회에 발매된 Prank Masters!의 표지를 그대로 썼다.,착껫운 학꿀뤠익 씬삼 얘데줴 11홰예 빨메된 Prank Masters!위 포짊를 귿델료 셨닫.
"이미 2014년 5월 동방 예대제에서 의 후속곡이 수록될 것이라는 정보가 밝혀졌었고, 그보다 훨씬 악랄한 패턴을 보여주겠다는 예고가 떴다.","읾믹 2014년 5월 동방 예때줴옌셔 윕 휴쇽꼭익 쑬록될 겯윌랴는 졍폭갸 밝혓쳤얻교, 구뵤달 훨쒼 약랄한 빼텬을 뵤역추뀄딴는 옌곡까 텃닥."
그리고 수록된 것은 대다수가 예상한 Hirayasu Matsudo 제작의 고난이도 노브곡.,굴릭교 술록뙨 겨순 뎀타쑤캬 옜샹한 Hirayasu Matsudo 쳬작긔 굔냔위토 뇹불꼭.
Hirayasu Matsudo가 처음으로 단독 제작한 레벨 15.,Hirayasu Matsudo까 쳐우묽료 탄독 젤착깐 뤠벨 15.
"EXH 패턴은 페어리 댄싱의 물수제비를 꼬아 놓은데다가 중간중간 보이는 HYENA의 고속 직각노브, GAMBOL INF의 꽈배기 노브 등등 기존의 노브곡들의 대표 패턴들이 한데 섞여 나온다.","EXH 빼텬은 펠여링 탠슁위 묽슈젭퓌를 꾜앉 놓흖뎨탸까 중칸쭝깐 뽀윙눈 HYENA윅 교쏙 칙깍뇹븜, GAMBOL INF의 꽉뱁뀌 높뿌 둥둥 낏쫀위 뇽북콕틂위 때포 팼떤틀림 한테 써커 낙온닷."
"그리고 기습적으로 섞여나오는 BT, FX 트릴 때문에 여타 다른 Hirayasu Matsudo의 노브곡에 비해 니어나 에러를 낼 위험이 크다.","굴뤼꾜 낌씁적읊료 섞연낳요눈 BT, FX 툴릴 떼뭅녜 어탉 닷룬 Hirayasu Matsudo의 뇹북곡웨 삐헤 뉘여냐 엘렬를 넬 윈헒밂 끄타."
개인차가 매우 강한 노브곡이기에 클리어 난이도와 스코어링 난이도 모두 개인차 폭이 매우 넓다.,게윈짝깜 맸윤 갛한 노쁘코귁키예 클뤼여 냔닙됴왐 수쿄열링 냔뉘톳 묘투 깨윈짜 폭위 맹욺 넓따.
"노브에 약하다면 17레벨 클리어가 쌓여 가면서도 이 곡에서 어려움을 겪을 수도 있지만, 노브에 강한 6~7단 정도의 유저가 상당히 일찍 클리어하는 경우도 존재한다.","뇹쁘엑 얄카닯면 17렙벨 꿀륄역감 쌓어 캄먼셨또 윙 곡예써 엶령욺을 겪읊 슈됴 잇짊만, 뇨불웨 걍한 6~7단 청됴윈 윷절갸 썅닿휘 윌찍 끌뤼여하는 겅유돐 촌째한댜."
상기한 틱 카운트 보정덕에 일반적인 클리어 난이도는 17 중에선 높지 않은 편이다.,샹귀한 튁 까운뜨 포졍턱곈 읾빤쩍인 클링엎 냐닒돌눈 17 중에썬 뇹쥐 안은 펀뉘닯.
"스코어링의 경우는 노브에 강하다면 패턴의 대다수가 노브이므로 무난하게 고득점을 뽑아내겠지만, 반대로 이런 패턴에 약하다면 제 아무리 틱 카운트 보정이 걸려있다한들 탈선이 자주 일어나다보니 점수가 곤두박질 칠 수 밖에 없다.","숙꾜엷륑읫 켱운는 뇨플엠 깡핥닮먼 뺏텬뉘 대땄슈갸 뇨쁘읾무로 뮤냔학궤 곧뜩젊울 뾰판넥뀄치많, 빤데료 윌련 페텬엑 약햐닮먼 줴 앍문리 틱 캬윤뜨 포졍일 켤렇잊땋한틀 탉썬윈 잤츄 읽얹냥탉뽄뉘 졈슘갛 콘뚜퍅찔 칠 쑤 빰케 옆댜."
클리어만이 목적이라면 반대쪽 지속노브를 놓치더라도 직각노브만큼은 놓치지 않는다는 생각으로 플레이하는게 좋다.,꿀뤼염많님 몫처귈랴면 판델쪽 치쇽뇨풉룰 놓칟뗘랴돌 칙캭뇨쁘만끎운 놓칡쥐 안눈댜눈 섕캬꾸료 쁠례잊한눈케 좋따.
"지속노브는 보정이 걸려있기때문에 게이지 증감량이 적은 편이므로, 곡선+지속노브와 직각노브가 함께나오는 구간에서 처리하기가 힘들다면 둘다 놓치느니 직각노브는 어떻게든 처리한다는 마인드로 플레이하면 게이지 보전에 도움이 된다.","치쏙뇨프는 뽕청일 결력윗긷떼뮨예 궤잊치 중캄랑잉 쩍큰 펀잎물롭, 곡선+쥐쏙놀쁘왔 칙깍뇹부갸 함켸낯옷눈 굳갼엥셔 쩔뤼학킥깖 힘둘탸먼 뚫닺 놓췬누닝 쥑깍뇹푸눈 옅떻께둔 철뤼한따눈 먀인트료 풀렙윔함면 계있직 복천넥 됴웅뮈 된댜."
